3	0	0
1	60	0
2	120	0
3	180	0
2	240	0
2	300	0
3	360	0
3	420	0
1	480	0
1	540	0
2	600	0
2	660	0
3	720	0
3	0	120
1	60	120
1	120	120
2	180	120
3	240	120
2	300	120
3	360	120
1	420	120
3	480	120
1	540	120
2	600	120
2	660	120
1	720	120
2	0	240
1	60	240
3	120	240
1	180	240
1	240	240
1	300	240
3	360	240
3	420	240
3	480	240
3	540	240
2	600	240
1	660	240
3	720	240
1	0	360
3	60	360
3	120	360
2	180	360
2	240	360
1	300	360
3	360	360
1	420	360
1	480	360
1	540	360
1	600	360
3	660	360
2	720	360
1	0	480
3	60	480
2	120	480
3	180	480
2	240	480
1	300	480
3	360	480
3	420	480
2	480	480
1	540	480
2	600	480
2	660	480
1	720	480
